model,uses_sensor5,n_features,notes,accuracy_mean,accuracy_std,precision_macro_mean,recall_macro_mean,f1_macro_mean,failure_recall,production_recall,macro_precision,macro_f1,roc_auc_production
decision_tree,True,12,Interpretable tree using all features.,0.9826086956521738,0.0169013098401313,0.9849002058491514,0.9711386308909529,0.9771715935565165,0.9960474308300395,0.946236559139785,0.984654396012766,0.9776341305753071,0.9745845552297165
random_forest,True,12,Ensemble tree model using all features.,0.9826086956521738,0.0169013098401313,0.9849002058491514,0.9711386308909529,0.9771715935565165,0.9960474308300395,0.946236559139785,0.984654396012766,0.9776341305753071,0.9930298780228654
gradient_boosting,True,12,Boosted tree model using all features.,0.9797101449275362,0.017391304347826084,0.983049697866568,0.9655830753353973,0.9731941803358136,0.9960474308300395,0.9354838709677419,0.9826902748414377,0.9738136683569212,0.9713119979599643
balanced_decision_tree,True,12,Class-weighted tree using all features.,0.9739130434782608,0.02656565620264255,0.9675065539036127,0.9685586515307879,0.96709630239042,0.9802371541501976,0.956989247311828,0.965467747382641,0.9670249377878964,0.9755833227081473
logistic_regression,True,12,Linear baseline using all features.,0.9566045548654245,0.01839814506960984,0.9443962599553609,0.94977915376677,0.9452500561996361,0.9644268774703557,0.9354838709677419,0.941125,0.9454069235381362,0.9883122954651706
balanced_decision_tree_without_sensor5,False,11,Class-weighted tree using Sensor5 removed for leakage sensitivity.,0.7860041407867495,0.0697411754745156,0.7373204415173724,0.7612879256965945,0.7441584856211281,0.8142292490118577,0.7096774193548387,0.7340954840669984,0.7442566622717648,0.7835649623868418
random_forest_without_sensor5,False,11,Ensemble tree model using Sensor5 removed for leakage sensitivity.,0.7830227743271221,0.06842203748483593,0.7250902390782792,0.7415493636050912,0.7295067665946353,0.8300395256916996,0.6559139784946236,0.727153528289892,0.7338870942931857,0.8207743635513621
logistic_regression_without_sensor5,False,11,Linear baseline using Sensor5 removed for leakage sensitivity.,0.7224016563146998,0.08893985824850764,0.6897686779293366,0.7314172686618506,0.6913604024557557,0.7114624505928854,0.7526881720430108,0.6881049984498261,0.6913470115967886,0.8026690467083174
gradient_boosting_without_sensor5,False,11,Boosted tree model using Sensor5 removed for leakage sensitivity.,0.7628985507246377,0.0494421728932647,0.6765891452888357,0.6503894048847609,0.6529684601353953,0.8932806324110671,0.40860215053763443,0.6944429236244183,0.6637273028966956,0.7973139529941774
decision_tree_without_sensor5,False,11,Interpretable tree using Sensor5 removed for leakage sensitivity.,0.7368530020703934,0.08305452117317541,0.665478237510796,0.6483164774681803,0.6496390557607001,0.8379446640316206,0.46236559139784944,0.6605325336241367,0.6545883385442378,0.7474180798163967
dummy_most_frequent,True,12,Majority-class baseline using all features.,0.7312215320910973,0.006615417120841893,0.36561076604554865,0.5,0.42236474755191333,1.0,0.0,0.36560693641618497,0.42237061769616024,0.5
dummy_most_frequent_without_sensor5,False,11,Majority-class baseline using Sensor5 removed for leakage sensitivity.,0.7312215320910973,0.006615417120841893,0.36561076604554865,0.5,0.42236474755191333,1.0,0.0,0.36560693641618497,0.42237061769616024,0.5
